Značka,Model,Objem (l),Rok,Najeté km,Cena,Palivo,Převodovka,Výkon (kW),Zdroj
Renault,Megane,1.6,2005,187904,50000,Benzín,Manuální,83,Sauto
Toyota,Auris,1.6,2008,132915,50000,Benzín,Automatická,91,Sauto
Renault,Megane,1.6,2006,157168,50000,Benzín,Manuální,82,Sauto
Ford,Focus,1.8,2008,184259,50000,benzín,manual,92,Autoesa
Mini,Cooper,1.6,2006,207970,50000,Benzín,Manuální,85,Sauto
Mazda,6,2.0,2007,244347,50000,nafta,manual,105,Autoesa
Mazda,MPV,2.0,2002,274832,50000,nafta,manual,100,Autoesa
Subaru,Legacy,2.0,2010,204155,50000,Nafta,Manuální,110,Sauto
Škoda,Fabia,1.2,2008,199106,50000,benzín,manual,51,Autoesa
Nissan,Pixo,1.0,2013,66042,50000,benzín,manual,50,Autoesa
Hyundai,Tucson,2.0,2006,181553,50000,Benzín,Manuální,104,Sauto
Dacia,Logan,1.4,2006,161588,50000,benzín,manual,55,Autoesa
Subaru,Justy,1.0,2009,141481,52000,Benzín,Manuální,51,Sauto
Kia,Carens,1.6,2006,157218,52000,Benzín,Manuální,77,Sauto
Peugeot,206,1.4,2010,145440,53000,benzín,manual,55,Autoesa
Mini,Cooper,1.6,2003,254184,53000,Benzín,Manuální,85,Sauto
Honda,Civic,1.4,2005,187451,53999,Benzín,Manuální,66,Sauto
Peugeot,407,2.0,2008,233420,54000,nafta,manual,100,Autoesa
Toyota,Avensis,2.0,2008,320000,54000,Nafta,Manuální,93,Sauto
Peugeot,206,1.1,2009,118640,54000,benzín,manual,44,Autoesa
Mini,One,1.4,2003,230000,54000,Nafta,Manuální,55,Sauto
Mazda,3,1.6,2006,185674,54900,Benzín,Manuální,77,Sauto
Subaru,Forester,2.0,2006,253906,54900,Benzín,Manuální,116,Sauto
Mazda,5,1.8,2007,183000,54900,Benzín,Manuální,85,Sauto
Bmw,Rada 1,2.0,2005,303669,54990,Nafta,Manuální,90,Sauto
Renault,Scénic,1.5,2009,299800,55000,nafta,manual,78,Autoesa
Renault,Thalia,1.1,2009,122802,55000,Benzín,Manuální,55,Sauto
Ford,C-MAX,2.0,2010,245200,55000,nafta,manual,100,Autoesa
Nissan,Note,1.5,2006,118324,55000,nafta,manual,63,Autoesa
Skoda,Octavia,1.9,2003,284486,55000,Nafta,Manuální,66,Sauto
Skoda,Fabia,1.9,2005,333966,55000,Nafta,Manuální,74,Sauto
Fiat,Panda,1.1,2009,127928,55000,benzín,manual,40,Autoesa
Fiat,Punto,1.2,2009,160495,55000,benzín,manual,48,Autoesa
Mitsubishi,Colt,1.1,2005,226000,55000,Benzín,Manuální,55,Sauto
Ford,C Max,2.0,2010,245200,55000,Nafta,Manuální,100,Sauto
Fiat,Panda,1.1,2006,56155,55000,benzín,manual,40,Autoesa
Kia,Ceed,1.4,2009,233816,55000,benzín,manual,77,Autoesa
Mazda,323,1.5,1996,116000,55000,Benzín,Manuální,65,Sauto
Seat,Ibiza,1.6,2011,208547,55000,nafta,manual,66,Autoesa
Mini,One,1.6,2001,332000,55000,LPG + benzín,Manuální,66,Sauto
Mazda,2,1.3,2008,203126,55000,Benzín,Manuální,55,Sauto
Nissan,X Trail,2.2,2005,302102,55000,Nafta,Manuální,100,Sauto
Opel,Signum,1.9,2005,276565,55000,Nafta,Automatická,110,Sauto
Fiat,Croma,2.2,2006,145975,55000,benzín,manual,108,Autoesa
Fiat,Croma,1.9,2008,278564,55000,nafta,automat,110,Autoesa
Toyota,Yaris,1.3,2008,186215,55500,benzín,manual,64,Autoesa
Fiat,Doblo,1.2,2009,283424,55900,Nafta,Manuální,55,Sauto
Toyota,Rav4,2.0,1996,231441,56000,Benzín,Manuální,95,Sauto
