Značka,Model,Objem (l),Najeté km,Cena,Palivo,Převodovka,Výkon (kW),Stari
Skoda,Octavia,1.9,284486,55000,Nafta,Manualni,66,22
Skoda,Fabia,1.9,333966,55000,Nafta,Manualni,74,20
Fiat,Panda,1.1,127928,55000,Benzin,Manualni,40,16
Fiat,Punto,1.2,160495,55000,Benzin,Manualni,48,16
Mitsubishi,Colt,1.1,226000,55000,Benzin,Manualni,55,20
Ford,C Max,2.0,245200,55000,Nafta,Manualni,100,15
Fiat,Panda,1.1,56155,55000,Benzin,Manualni,40,19
Kia,Ceed,1.4,233816,55000,Benzin,Manualni,77,16
Mazda,323,1.5,116000,55000,Benzin,Manualni,65,29
Seat,Ibiza,1.6,208547,55000,Nafta,Manualni,66,14
Mini,One,1.6,332000,55000,Benzin,Manualni,66,24
Mazda,2,1.3,203126,55000,Benzin,Manualni,55,17
Nissan,X Trail,2.2,302102,55000,Nafta,Manualni,100,20
Opel,Signum,1.9,276565,55000,Nafta,Automaticka,110,20
Fiat,Croma,2.2,145975,55000,Benzin,Manualni,108,19
Fiat,Croma,1.9,278564,55000,Nafta,Automaticka,110,17
Toyota,Yaris,1.3,186215,55500,Benzin,Manualni,64,17
Fiat,Doblo,1.2,283424,55900,Nafta,Manualni,55,16
Toyota,Rav4,2.0,231441,56000,Benzin,Manualni,95,29
Opel,Zafira,1.9,162113,56000,Nafta,Manualni,88,17
Hyundai,Getz,1.1,57517,56000,Benzin,Manualni,49,17
Volvo,V50,1.6,201105,58000,Nafta,Manualni,80,18
Peugeot,207,1.4,160331,58000,Benzin,Manualni,65,19
Fiat,Bravo,1.4,115636,58000,Benzin,Manualni,66,17
Mini,One,1.6,193022,58000,Benzin,Manualni,66,22
Renault,Scenic,1.6,302160,59000,Nafta,Manualni,96,12
Opel,Corsa,1.2,172803,59000,Benzin,Manualni,59,16
BMW,X3,3.0,310000,59000,Nafta,Automaticka,150,21
Kia,Ceed,1.6,190985,59000,Nafta,Manualni,85,16
Renault,Twingo,1.1,89604,59000,Benzin,Manualni,43,14
Peugeot,307,2.0,126977,59000,Nafta,Manualni,66,21
Nissan,Pixo,1.0,95335,59000,Benzin,Manualni,50,14
Volkswagen,Passat,1.9,258020,59000,Nafta,Manualni,96,23
Citroen,Xsara Picasso,1.6,125570,59000,Benzin,Manualni,80,18
Peugeot,206,1.4,119955,59000,Benzin,Manualni,55,15
Honda,Accord,2.2,334000,59000,Nafta,Manualni,103,19
Fiat,Panda,1.1,125000,59000,Benzin,Manualni,40,15
Ford,Focus,1.6,292202,59000,Nafta,Manualni,70,14
Nissan,Micra,1.2,218000,59000,Benzin,Manualni,59,20
Subaru,Impreza,2.0,225478,59000,Nafta,Manualni,110,15
MercedesBenz,Trida,2.0,173235,59000,Benzin,Manualni,80,19
Dacia,Sandero,1.2,171251,59000,Benzin,Manualni,55,11
Opel,Zafira,1.7,283599,59900,Nafta,Manualni,81,17
Fiat,Panda,1.1,134700,59900,Benzin,Manualni,40,16
Mitsubishi,Colt,1.5,75560,59900,Benzin,Manualni,80,19
Seat,Ibiza,1.2,114953,59900,Benzin,Manualni,51,17
Citroen,C3,1.1,84000,59900,Benzin,Manualni,44,17
Fiat,Bravo,1.9,233371,59900,Nafta,Manualni,88,18
Mitsubishi,Lancer,2.0,405392,59900,Nafta,Manualni,103,16
Mitsubishi,Colt,1.3,215838,59900,Benzin,Manualni,70,14
Peugeot,Partner,1.4,154000,59990,Benzin,Manualni,55,17
Mini,One,1.6,227000,59990,Benzin,Manualni,66,20
Citroen,C1,1.0,58157,59999,Benzin,Manualni,50,18
Opel,Corsa,1.2,243128,59999,Benzin,Manualni,63,13
Citroen,C5,2.0,172347,59999,Nafta,Manualni,103,12
Fiat,Punto,1.2,164613,59999,Benzin,Manualni,48,16
Fiat,Panda,1.2,186280,59999,Benzin,Manualni,44,21
Fiat,Bravo,1.9,208640,59999,Nafta,Manualni,110,17
Citroen,C4,1.4,122825,60000,Benzin,Manualni,65,17
Jeep,Cherokee,2.5,230526,60000,Nafta,Manualni,105,21
BMW,Rada 5,2.5,398000,60000,Nafta,Manualni,105,26
Nissan,Note,1.6,186916,60000,Benzin,Manualni,81,19
Toyota,Avensis,2.2,284199,60000,Nafta,Manualni,110,17
Mini,Cooper,1.6,260294,60000,Benzin,Manualni,85,19
Fiat,Bravo,1.4,118700,60000,Benzin,Manualni,66,12
Citroen,C4,1.6,240222,60000,Nafta,Manualni,80,17
Opel,Astra,1.6,257880,60000,Benzin,Manualni,85,14
Toyota,Avensis,2.2,224603,60000,Nafta,Manualni,110,17
Skoda,Fabia,1.2,166142,60000,Benzin,Manualni,51,15
Peugeot,407,1.6,153510,60000,Nafta,Manualni,80,17
Skoda,Octavia,1.6,244253,60000,Benzin,Manualni,75,24
Toyota,Aygo,1.0,86005,60000,Benzin,Manualni,50,14
Seat,Leon,1.9,226400,60000,Nafta,Manualni,77,19
Mini,One,1.4,253375,60000,Benzin,Manualni,70,18
Citroen,Grand C4 Picasso,1.6,232062,60000,Nafta,Automaticka,82,14
Dacia,Duster,1.2,228993,60000,Benzin,Manualni,92,11
Kia,Carens,2.0,167598,60000,Nafta,Manualni,84,17
Citroen,C3,1.1,63547,60000,Benzin,Manualni,44,18
Volkswagen,Touran,2.0,257021,60000,Benzin,Manualni,80,18
Mazda,6,2.2,400000,60000,Nafta,Manualni,120,15
Subaru,Forester,2.0,243893,60000,Nafta,Manualni,108,14
Hyundai,I20,1.2,133881,60000,Benzin,Manualni,57,16
Citroen,C5,2.0,283753,60000,Nafta,Manualni,103,15
Fiat,Bravo,1.4,192612,60000,Benzin,Manualni,88,17
MercedesBenz,CLK,2.3,167357,60000,Benzin,Automaticka,142,26
Renault,Megane,1.5,269918,60000,Nafta,Manualni,63,15
Mini,One,1.6,159098,62000,Benzin,Manualni,66,22
Mini,Cooper,1.6,172840,62000,Benzin,Manualni,85,24
Kia,Carens,2.0,161624,62000,Benzin,Manualni,106,18
Seat,Ibiza,1.2,168952,62000,Benzin,Manualni,51,16
Dacia,Logan,1.4,194743,62990,Benzin,Manualni,55,16
Fiat,500,1.2,240000,63000,Benzin,Manualni,51,17
BMW,Rada 3,2.5,348487,63000,Benzin,Manualni,125,26
Renault,Laguna,2.0,187336,63000,Nafta,Manualni,110,17
Citroen,C4,1.6,162283,63900,Nafta,Manualni,88,10
Ford,Mondeo,2.0,249543,64000,Nafta,Manualni,96,17
Skoda,Fabia,1.9,256582,64000,Nafta,Manualni,77,17
Seat,Leon,1.9,242530,64000,Nafta,Manualni,77,17
Skoda,Fabia,1.2,184849,64000,Benzin,Manualni,44,16
Skoda,Superb,2.5,257707,64000,Nafta,Automaticka,114,23
Mazda,2,1.3,107779,64000,Benzin,Manualni,63,15
Seat,Ibiza,1.4,128000,64000,Benzin,Manualni,63,14
Seat,Ibiza,1.2,103789,64000,Benzin,Manualni,47,23
Kia,Soul,1.6,254301,64700,Benzin,Manualni,93,13
Opel,Meriva,1.4,110000,64800,Benzin,Manualni,66,16
Mitsubishi,Colt,1.1,92837,64800,Benzin,Manualni,55,14
Kia,Cee D,1.4,243200,64877,Benzin,Manualni,80,16
Mitsubishi,Colt,1.3,224543,64900,Benzin,Automaticka,70,15
Honda,Hr V,1.6,196000,64900,Benzin,Manualni,77,26
Citroen,C3,1.4,226000,64990,Nafta,Manualni,50,14
Subaru,Justy,1.3,118200,64990,Benzin,Manualni,66,20
Mazda,3,1.6,160763,64999,Benzin,Manualni,77,19
Toyota,Auris,1.4,221229,64999,Benzin,Manualni,71,18
Fiat,Croma,1.9,183200,64999,Nafta,Automaticka,110,17
MercedesBenz,Trida,1.8,236411,65000,Benzin,Manualni,120,21
Subaru,Impreza,1.5,233000,65000,Benzin,Manualni,79,16
Kia,Rio,1.4,75623,65000,Benzin,Manualni,71,15
Toyota,Verso,2.0,231100,65000,Nafta,Manualni,93,16
Kia,Ceed,1.6,194049,65000,Nafta,Manualni,84,16
Volvo,V50,2.0,338740,65000,Nafta,Manualni,100,19
Volvo,V50,2.0,338740,65000,Nafta,Manualni,100,19
Fiat,Bravo,1.4,191220,65000,Benzin,Manualni,88,16
