Značka,Model,Najeté km,Cena,Palivo,Převodovka,Výkon (kW),Stari
Seat,Cordoba,240000,49800,Nafta,Manualni,74,22
Seat,Arosa,189000,49900,Benzin,Manualni,44,23
Nissan,Micra,148160,49900,Benzin,Manualni,48,20
Mazda,2,252854,49900,Benzin,Manualni,55,20
Kia,Sorento,247587,49900,Nafta,Manualni,103,20
Mazda,2,199784,49900,Benzin,Manualni,55,18
Opel,Astra,207265,49900,Benzin,Manualni,92,19
Mazda,2,108027,49900,Benzin,Manualni,55,17
Citroen,C3,182629,49900,Benzin,Manualni,54,20
Peugeot,307,158200,49900,Benzin,Manualni,80,24
Nissan,Almera,108567,49900,Benzin,Manualni,72,21
Renault,Megane,299033,49900,Nafta,Manualni,63,19
Peugeot,407,253470,49900,Nafta,Manualni,100,17
Nissan,Pixo,121670,49900,Benzin,Manualni,50,13
Nissan,Micra,83288,49900,Benzin,Manualni,48,20
Volvo,V70,422300,49900,Benzin,Manualni,103,20
Volkswagen,Polo,157967,49990,Benzin,Manualni,40,18
Nissan,Micra,150908,49990,Benzin,Manualni,59,22
Citroen,Xsara Picasso,215083,49990,Nafta,Manualni,66,15
Citroen,C4 Picasso,224318,49990,Nafta,Automaticka,80,17
Renault,Megane,168000,49990,Benzin,Automaticka,83,20
Seat,Exeo,208000,49990,Benzin,Manualni,118,15
Nissan,Qashqai,269558,49999,Nafta,Manualni,110,18
Nissan,Micra,202449,49999,Benzin,Manualni,48,16
Citroen,C4,286477,49999,Nafta,Manualni,66,20
Peugeot,407,167398,49999,Nafta,Manualni,80,21
Peugeot,207,242226,49999,Benzin,Manualni,70,16
Seat,Cordoba,106512,49999,Benzin,Manualni,55,21
Nissan,Note,261789,49999,Nafta,Manualni,66,13
Peugeot,308,170373,49999,Benzin,Manualni,70,16
Seat,Leon,300417,49999,Nafta,Manualni,77,18
Renault,Clio,178707,50000,Benzin,Manualni,48,19
Renault,Trafic,314740,50000,Nafta,Manualni,84,15
Hyundai,Getz,76169,50000,Benzin,Manualni,62,20
Peugeot,407,257890,50000,Nafta,Manualni,100,18
Renault,Megane,157168,50000,Benzin,Manualni,82,19
Skoda,Octavia,288968,50000,Nafta,Automaticka,66,23
Nissan,Pixo,66042,50000,Benzin,Manualni,50,12
Renault,Megane,228024,50000,Benzin,Manualni,81,16
Opel,Astra,220562,50000,Nafta,Manualni,74,20
Seat,Altea,262292,50000,Benzin,Manualni,75,18
Mazda,6,388100,50000,Nafta,Manualni,120,16
Renault,Megane,157168,50000,Benzin,Manualni,82,19
Renault,Laguna,235000,50000,Nafta,Manualni,96,19
Citroen,C4,256466,50000,Nafta,Manualni,103,16
Citroen,C4,255684,50000,Nafta,Manualni,80,17
Renault,Megane,160707,50000,Nafta,Manualni,60,20
Citroen,C1,121538,50000,Benzin,Manualni,50,17
Nissan,Pixo,66042,50000,Benzin,Manualni,50,12
Citroen,Xsara,172768,50000,Nafta,Manualni,80,21
Renault,Clio,178707,50000,Benzin,Manualni,48,19
Land Rover,Freelander,270012,50000,Nafta,Manualni,82,24
Citroen,C4,242699,50000,Nafta,Automaticka,100,18
Hyundai,Trajet,204000,50000,Nafta,Manualni,86,21
Opel,Meriva,166356,50000,Benzin,Manualni,66,16
Opel,Astra,214279,50000,Nafta,Manualni,74,19
Volkswagen,Golf,182069,50000,Benzin,Manualni,55,22
Renault,Thalia,114626,50000,Benzin,Manualni,55,13
Ford,Focus,184259,50000,Benzin,Manualni,92,17
Renault,Clio,73922,50000,Benzin,Manualni,43,22
Hyundai,Tucson,181553,50000,Benzin,Manualni,104,19
Citroen,C4,256466,50000,Nafta,Manualni,103,16
Hyundai,Trajet,194000,50000,Nafta,Manualni,82,18
Peugeot,206,100701,50000,Benzin,Manualni,44,16
Ford,Focus,228469,50000,Nafta,Manualni,66,18
Kia,Picanto,95722,50000,Benzin,Manualni,45,14
Renault,Clio,73922,50000,Benzin,Manualni,43,22
Opel,Corsa,202711,50000,Benzin,Manualni,59,18
Kia,Rio,157007,50000,Benzin,Manualni,71,15
Peugeot,607,253959,50000,Nafta,Manualni,125,18
Opel,Corsa,202711,50000,Benzin,Manualni,59,18
Hyundai,Accent,150530,50000,Benzin,Manualni,71,16
Opel,Astra,214279,50000,Nafta,Manualni,74,19
Peugeot,207,139000,50000,Benzin,Manualni,70,18
Opel,Corsa,218193,50000,Benzin,Manualni,59,18
Peugeot,206,169211,50000,Benzin,Manualni,65,20
Opel,Meriva,164657,50000,Benzin,Manualni,66,21
Renault,Megane,137921,50000,Benzin,Manualni,72,21
